City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-07-20 19:22:50,-21.2,-175.2,73.56,88,40,5.75
1,Mandera,KE,2022-07-20 19:27:46,3.9366,41.867,83.62,39,75,14.94
2,Grand Gaube,MU,2022-07-20 19:27:47,-20.0064,57.6608,72.0,59,96,8.99
3,La Ronge,CA,2022-07-20 19:27:47,55.1001,-105.2842,71.85,40,75,20.71
4,Tairua,NZ,2022-07-20 19:27:47,-37.0167,175.85,50.5,77,3,11.79
5,Ankang,CN,2022-07-20 19:27:48,32.68,109.0172,71.96,82,0,1.45
6,Billings,US,2022-07-20 19:22:59,45.7833,-108.5007,94.66,14,0,20.71
7,Kawalu,ID,2022-07-20 19:27:48,-7.3817,108.2082,71.44,98,87,2.37
8,Yellowknife,CA,2022-07-20 19:24:01,62.456,-114.3525,64.92,55,75,13.8
9,Lata,PT,2022-07-20 19:27:49,40.1629,-8.3327,76.08,51,0,6.02
10,Albany,US,2022-07-20 19:25:43,42.6001,-73.9662,95.45,46,28,2.66
11,Port-Gentil,GA,2022-07-20 19:27:49,-0.7193,8.7815,75.16,83,75,9.22
12,Lalmohan,BD,2022-07-20 19:27:50,22.3384,90.7419,82.6,84,100,8.21
13,Half Moon Bay,US,2022-07-20 19:27:50,37.4636,-122.4286,82.89,71,75,17.27
14,Pacific Grove,US,2022-07-20 19:25:01,36.6177,-121.9166,77.2,86,40,11.5
15,Hobart,AU,2022-07-20 19:24:50,-42.8794,147.3294,34.05,94,1,3.44
16,Ushuaia,AR,2022-07-20 19:27:51,-54.8,-68.3,33.42,93,100,18.41
17,Busselton,AU,2022-07-20 19:27:51,-33.65,115.3333,56.77,95,100,11.68
18,Nikolskoye,RU,2022-07-20 19:27:51,59.7035,30.7861,70.88,57,100,11.52
19,Hilo,US,2022-07-20 19:27:52,19.7297,-155.09,81.28,86,100,6.91
20,Puerto Ayora,EC,2022-07-20 19:27:52,-0.7393,-90.3518,76.96,97,88,5.01
21,Jamestown,US,2022-07-20 19:26:38,42.097,-79.2353,87.71,52,40,17.27
22,Petropavlovsk-Kamchatskiy,RU,2022-07-20 19:27:53,53.0452,158.6483,48.79,100,100,4.47
23,Labuhan,ID,2022-07-20 19:27:53,-6.8844,112.2051,74.89,82,0,10.69
24,Bluff,NZ,2022-07-20 19:27:53,-46.6,168.3333,39.79,64,100,8.01
25,Maniitsoq,GL,2022-07-20 19:27:54,65.4167,-52.9,43.65,98,100,13.56
26,Urumqi,CN,2022-07-20 19:27:54,43.801,87.6005,70.75,35,0,11.18
27,Ahuimanu,US,2022-07-20 19:26:46,21.4447,-157.8378,80.31,71,20,16.11
28,Saldanha,ZA,2022-07-20 19:27:54,-33.0117,17.9442,46.45,61,0,13.24
29,Hammerfest,NO,2022-07-20 19:27:55,70.6634,23.6821,63.05,67,0,8.05
30,Fortuna,US,2022-07-20 19:27:55,40.5982,-124.1573,68.94,75,36,3.0
31,Te Anau,NZ,2022-07-20 19:27:55,-45.4167,167.7167,37.26,95,93,3.65
32,Hermanus,ZA,2022-07-20 19:27:56,-34.4187,19.2345,42.8,69,2,3.96
33,Luderitz,NA,2022-07-20 19:27:56,-26.6481,15.1594,57.97,58,2,19.53
34,Godo,JP,2022-07-20 19:27:56,35.4167,136.6,78.98,94,61,3.71
35,Broome,US,2022-07-20 19:27:57,42.2506,-75.833,95.02,50,0,8.01
36,Norman Wells,CA,2022-07-20 19:27:57,65.282,-126.8329,71.64,37,75,2.3
37,Omboue,GA,2022-07-20 19:27:58,-1.5746,9.2618,72.21,89,78,8.43
38,Punta Arenas,CL,2022-07-20 19:27:58,-53.15,-70.9167,35.71,75,75,24.16
39,East London,ZA,2022-07-20 19:23:59,-33.0153,27.9116,62.51,81,87,5.95
40,Kapaa,US,2022-07-20 19:27:59,22.0752,-159.319,82.38,79,20,12.66
41,Severo-Kurilsk,RU,2022-07-20 19:27:59,50.6789,156.125,51.48,98,100,12.82
42,Avarua,CK,2022-07-20 19:28:00,-21.2078,-159.775,73.45,68,75,12.66
43,Talnakh,RU,2022-07-20 19:28:00,69.4865,88.3972,52.21,71,100,2.8
44,Vila Velha,BR,2022-07-20 19:28:01,-20.3297,-40.2925,76.95,76,0,11.5
45,Vestmannaeyjar,IS,2022-07-20 19:28:01,63.4427,-20.2734,54.59,87,20,16.11
46,Mataura,NZ,2022-07-20 19:28:03,-46.1927,168.8643,39.47,92,100,1.7
47,Cabo San Lucas,MX,2022-07-20 19:27:32,22.8909,-109.9124,95.61,46,20,11.5
48,Qasigiannguit,GL,2022-07-20 19:28:04,68.8193,-51.1922,61.05,61,100,2.04
49,Plettenberg Bay,ZA,2022-07-20 19:28:04,-34.0527,23.3716,54.9,85,77,1.86
50,Constitucion,CL,2022-07-20 19:28:04,-35.3333,-72.4167,58.73,71,5,7.2
51,Arraial Do Cabo,BR,2022-07-20 19:28:05,-22.9661,-42.0278,75.16,83,75,10.36
52,Mar Del Plata,AR,2022-07-20 19:25:50,-38.0023,-57.5575,64.94,53,0,17.27
53,Chokurdakh,RU,2022-07-20 19:28:05,70.6333,147.9167,41.13,77,76,8.55
54,Kyra,RU,2022-07-20 19:28:06,49.5776,111.9753,54.0,94,5,4.29
55,Saint-Pierre,RE,2022-07-20 19:28:06,-21.3393,55.4781,69.48,55,0,10.36
56,Belmonte,BR,2022-07-20 19:28:06,-15.8631,-38.8828,76.32,67,6,10.6
57,Touros,BR,2022-07-20 19:25:09,-5.1989,-35.4608,79.38,72,100,14.5
58,Castro,BR,2022-07-20 19:28:07,-24.7911,-50.0119,70.36,63,1,4.43
59,Qaanaaq,GL,2022-07-20 19:28:07,77.484,-69.3632,41.18,80,100,4.9
60,Longyearbyen,SJ,2022-07-20 19:28:08,78.2186,15.6401,49.84,87,75,10.36
61,Northam,GB,2022-07-20 19:28:08,51.0333,-4.2167,63.61,77,33,15.43
62,Mahebourg,MU,2022-07-20 19:28:09,-20.4081,57.7,71.89,60,40,18.41
63,Esperance,AU,2022-07-20 19:28:09,-33.8667,121.9,61.56,52,100,19.13
64,Kaitangata,NZ,2022-07-20 19:25:19,-46.2817,169.8464,41.11,82,100,5.77
65,Barrow,US,2022-07-20 19:28:09,71.2906,-156.7887,51.82,62,0,4.61
66,Porto Velho,BR,2022-07-20 19:28:10,-8.7619,-63.9039,95.05,26,40,5.75
67,Opuwo,NA,2022-07-20 19:28:10,-18.0607,13.84,63.66,28,0,6.98
68,Joshimath,IN,2022-07-20 19:28:11,30.5667,79.5667,71.78,92,100,0.94
69,Ponta Do Sol,PT,2022-07-20 19:28:11,32.6667,-17.1,76.71,77,2,4.74
70,Launceston,AU,2022-07-20 19:24:48,-41.45,147.1667,41.34,93,100,2.3
71,Port Alfred,ZA,2022-07-20 19:28:12,-33.5906,26.891,56.17,96,100,1.99
72,Porto,PT,2022-07-20 19:25:02,41.1496,-8.611,83.28,65,0,6.91
73,Sayyan,YE,2022-07-20 19:28:12,15.1718,44.3244,60.96,67,100,5.84
74,Taltal,CL,2022-07-20 19:28:13,-25.4,-70.4833,59.38,81,100,3.04
75,Dikson,RU,2022-07-20 19:28:13,73.5069,80.5464,43.27,69,11,22.37
76,Laguna,US,2022-07-20 19:28:14,38.421,-121.4238,98.17,33,0,6.91
77,Atasu,KZ,2022-07-20 19:28:14,48.6814,71.6433,80.55,38,88,5.3
78,Vila Franca Do Campo,PT,2022-07-20 19:28:15,37.7167,-25.4333,72.01,73,68,1.72
79,Pisco,PE,2022-07-20 19:28:15,-13.7,-76.2167,60.85,88,100,5.75
80,Rikitea,PF,2022-07-20 19:28:15,-23.1203,-134.9692,73.18,75,0,1.19
81,Amapa,BR,2022-07-20 19:28:16,1.0,-52.0,81.18,84,91,4.05
82,Santiago De Cao,PE,2022-07-20 19:28:16,-7.9589,-79.2392,66.33,68,0,11.5
83,Lavrentiya,RU,2022-07-20 19:25:26,65.5833,-171.0,39.9,95,100,14.81
84,Tasiilaq,GL,2022-07-20 19:28:17,65.6145,-37.6368,42.96,80,30,1.74
85,Hofn,IS,2022-07-20 19:28:17,64.2539,-15.2082,52.74,73,100,8.5
86,Halifax,CA,2022-07-20 19:23:56,44.6453,-63.5724,82.89,41,20,18.41
87,Cayenne,GF,2022-07-20 19:26:23,4.9333,-52.3333,86.04,1,0,11.5
88,Candelaria,PH,2022-07-20 19:28:17,13.9311,121.4233,77.4,95,100,3.6
89,Butaritari,KI,2022-07-20 19:28:18,3.0707,172.7902,81.25,78,63,10.42
90,Saint-Leu,RE,2022-07-20 19:28:18,-21.15,55.2833,68.86,67,62,4.47
91,Flinders,AU,2022-07-20 19:28:19,-34.5833,150.8552,51.19,93,100,4.0
92,Bukama,CD,2022-07-20 19:28:19,-9.2,25.85,81.73,34,88,3.4
93,Hithadhoo,MV,2022-07-20 19:28:19,-0.6,73.0833,80.82,69,100,1.66
94,Faanui,PF,2022-07-20 19:28:20,-16.4833,-151.75,77.56,66,0,9.64
95,Camacha,PT,2022-07-20 19:28:22,33.0833,-16.3333,69.22,73,40,11.5
96,Srednekolymsk,RU,2022-07-20 19:28:23,67.45,153.6833,45.77,74,100,6.76
97,Sulangan,PH,2022-07-20 19:28:23,11.1373,123.7228,83.57,75,87,4.45
98,Dubna,RU,2022-07-20 19:28:23,56.7333,37.1667,54.68,97,100,6.17
99,Vangaindrano,MG,2022-07-20 19:28:24,-23.35,47.6,65.57,90,75,5.7
100,Puerto Leguizamo,CO,2022-07-20 19:28:24,-0.1934,-74.7819,72.55,96,100,3.09
101,Alice Springs,AU,2022-07-20 19:28:25,-23.7,133.8833,35.15,69,0,0.0
102,Tuktoyaktuk,CA,2022-07-20 19:24:10,69.4541,-133.0374,55.4,82,100,12.66
103,Provideniya,RU,2022-07-20 19:28:25,64.3833,-173.3,42.57,77,99,17.36
104,Gondanglegi,ID,2022-07-20 19:28:25,-7.7479,112.0132,72.48,87,0,11.61
105,Kentau,KZ,2022-07-20 19:28:26,43.5206,68.5094,85.14,17,0,7.16
106,Jinka,ET,2022-07-20 19:28:26,5.65,36.65,67.57,60,99,1.88
107,Coquimbo,CL,2022-07-20 19:28:26,-29.9533,-71.3436,53.33,93,100,3.44
108,Turukhansk,RU,2022-07-20 19:28:27,65.8167,87.9833,51.17,94,100,8.19
109,Bredasdorp,ZA,2022-07-20 19:24:03,-34.5322,20.0403,47.19,86,2,4.38
110,Mugla,TR,2022-07-20 19:28:28,37.2303,28.3557,72.55,38,0,8.48
111,Tanggul,ID,2022-07-20 19:28:28,-8.1645,113.4525,71.15,94,30,0.27
112,Saint-Philippe,RE,2022-07-20 19:28:29,-21.3585,55.7679,69.39,75,38,15.37
113,Katsuura,JP,2022-07-20 19:25:23,35.1333,140.3,77.25,80,78,7.49
114,Caraquet,CA,2022-07-20 19:28:29,47.7941,-64.9386,75.74,52,22,17.31
115,Sao Filipe,CV,2022-07-20 19:28:29,14.8961,-24.4956,76.53,88,88,3.36
116,Belaya Gora,RU,2022-07-20 19:28:30,68.5333,146.4167,44.15,78,6,0.25
117,Cherskiy,RU,2022-07-20 19:28:30,68.75,161.3,38.55,79,47,12.37
118,Yulara,AU,2022-07-20 19:28:31,-25.2406,130.9889,46.69,48,5,11.05
119,Svetlyy,RU,2022-07-20 19:28:31,54.675,20.1347,66.25,70,8,5.61
120,Assiniboia,CA,2022-07-20 19:28:31,49.6334,-105.9845,72.36,37,0,15.9
121,Eydhafushi,MV,2022-07-20 19:28:32,5.1033,73.0708,80.74,76,100,16.49
122,Bereda,ES,2022-07-20 19:28:32,43.2686,-7.5406,65.41,94,17,7.52
123,Maralal,KE,2022-07-20 19:28:32,1.0968,36.698,59.7,69,84,6.11
124,Cabedelo,BR,2022-07-20 19:28:33,-6.9811,-34.8339,77.67,81,36,12.71
125,Barmer,IN,2022-07-20 19:28:33,25.75,71.3833,84.65,76,58,20.13
126,Guerrero Negro,MX,2022-07-20 19:28:33,27.9769,-114.0611,82.36,47,27,12.12
127,Dalvik,IS,2022-07-20 19:28:34,65.9702,-18.5286,48.13,90,100,5.86
128,Atar,MR,2022-07-20 19:27:58,20.5169,-13.0499,106.56,7,59,6.93
129,Saint-Joseph,RE,2022-07-20 19:28:34,-21.3667,55.6167,68.38,71,25,15.19
130,Lososina,RU,2022-07-20 19:28:35,48.9975,140.3106,58.68,96,100,2.89
131,Khatanga,RU,2022-07-20 19:28:35,71.9667,102.5,46.54,62,100,21.65
132,Margate,GB,2022-07-20 19:28:36,51.3813,1.3862,74.88,68,20,4.0
133,Ihosy,MG,2022-07-20 19:28:36,-22.4,46.1167,57.02,96,44,6.44
134,Minas,UY,2022-07-20 19:28:36,-34.3759,-55.2377,63.12,76,3,12.37
135,Geraldton,AU,2022-07-20 19:28:37,-28.7667,114.6,66.61,94,75,14.97
136,Demidov,RU,2022-07-20 19:28:37,55.2706,31.515,60.4,63,100,10.31
137,Xiamen,CN,2022-07-20 19:28:38,24.4798,118.0819,83.25,89,0,4.47
138,Erdenet,MN,2022-07-20 19:28:38,49.0333,104.0833,52.36,85,100,3.02
139,Anadyr,RU,2022-07-20 19:28:38,64.75,177.4833,41.5,80,40,6.71
140,Bogatoye,RU,2022-07-20 19:28:39,53.0601,51.3325,63.36,64,78,6.46
141,Tieling,CN,2022-07-20 19:28:41,42.2931,123.8414,68.38,90,100,4.0
142,Thompson,CA,2022-07-20 19:28:41,55.7435,-97.8558,71.76,60,40,12.66
143,Toora-Khem,RU,2022-07-20 19:28:42,52.4675,96.11,46.44,84,6,0.76
144,Neiafu,TO,2022-07-20 19:28:43,-18.65,-173.9833,77.68,73,40,10.36
145,San Patricio,US,2022-07-20 19:28:43,28.017,-97.5169,95.72,43,0,20.09
146,Kutum,SD,2022-07-20 19:28:44,14.2,24.6667,77.92,55,99,8.05
147,Nyurba,RU,2022-07-20 19:28:44,63.2842,118.3319,55.89,97,100,4.18
148,Niquero,CU,2022-07-20 19:28:45,20.0431,-77.5828,84.65,68,99,2.44
149,Champerico,GT,2022-07-20 19:28:45,14.3,-91.9167,93.74,73,100,7.43
150,Bilma,NE,2022-07-20 19:28:46,18.6853,12.9164,97.52,13,92,7.2
151,Comodoro Rivadavia,AR,2022-07-20 19:28:46,-45.8667,-67.5,48.06,31,0,29.93
152,Cheyenne,US,2022-07-20 19:28:28,41.14,-104.8203,91.54,14,0,13.8
153,Cockburn Town,TC,2022-07-20 19:25:08,21.4612,-71.1419,82.13,77,0,19.62
154,Bilaspur,IN,2022-07-20 19:28:47,22.0833,82.15,78.78,85,100,7.11
155,New Norfolk,AU,2022-07-20 19:28:47,-42.7826,147.0587,33.71,89,6,2.35
156,Jalu,LY,2022-07-20 19:28:47,29.0331,21.5482,84.09,32,0,14.32
157,Kandrian,PG,2022-07-20 19:28:48,-6.2167,149.55,75.94,92,100,4.52
158,Gat,IL,2022-07-20 19:24:05,31.61,34.7642,81.81,100,0,6.35
159,Aklavik,CA,2022-07-20 19:28:48,68.2191,-135.0107,62.6,67,75,2.3
160,Saint-Georges,GD,2022-07-20 19:28:49,12.0564,-61.7485,83.88,79,20,12.66
161,Evensk,RU,2022-07-20 19:28:49,61.95,159.2333,57.72,77,10,5.08
162,Presidencia Roque Saenz Pena,AR,2022-07-20 19:28:50,-26.7852,-60.4388,86.85,40,39,12.12
163,Bethel,US,2022-07-20 19:28:50,41.3712,-73.414,98.02,49,40,6.91
164,Carnarvon,AU,2022-07-20 19:28:50,-24.8667,113.6333,70.81,77,0,16.53
165,Poum,NC,2022-07-20 19:27:58,-20.2333,164.0167,75.43,86,100,7.94
166,Pevek,RU,2022-07-20 19:28:51,69.7008,170.3133,31.26,94,98,13.4
167,Mabopane,ZA,2022-07-20 19:28:51,-25.4977,28.1007,58.66,52,96,5.23
168,Namtsy,RU,2022-07-20 19:28:52,62.7161,129.6658,66.72,89,100,5.01
169,Kaabong,UG,2022-07-20 19:28:52,3.4836,34.1492,66.15,70,80,7.81
170,Chuy,UY,2022-07-20 19:28:53,-33.6971,-53.4616,60.62,83,0,8.9
171,Boca Do Acre,BR,2022-07-20 19:28:53,-8.7522,-67.3978,95.2,27,2,2.42
172,Nuuk,GL,2022-07-20 19:28:53,64.1835,-51.7216,48.81,93,100,23.02
173,Kruisfontein,ZA,2022-07-20 19:28:54,-34.0033,24.7314,54.88,92,92,3.15
174,Souillac,MU,2022-07-20 19:28:54,-20.5167,57.5167,71.98,60,40,18.41
175,Hervey Bay,AU,2022-07-20 19:28:54,-25.2986,152.8535,63.72,70,100,23.06
176,Port Elizabeth,ZA,2022-07-20 19:28:55,-33.918,25.5701,57.09,95,100,3.44
177,Saskylakh,RU,2022-07-20 19:28:55,71.9167,114.0833,37.27,90,68,12.39
178,Leningradskiy,RU,2022-07-20 19:28:55,69.3833,178.4167,32.92,97,100,17.87
179,Atuona,PF,2022-07-20 19:28:56,-9.8,-139.0333,77.65,74,7,15.64
180,Borovoy,RU,2022-07-20 19:28:56,55.4333,86.0833,60.08,88,40,6.71
181,Saint George,US,2022-07-20 19:28:01,37.1041,-113.5841,107.44,17,0,6.91
182,Cape Town,ZA,2022-07-20 19:26:14,-33.9258,18.4232,53.11,62,0,6.91
183,Tarko-Sale,RU,2022-07-20 19:28:57,64.9225,77.785,55.87,61,100,12.66
184,Wismar,DE,2022-07-20 19:28:57,53.9,11.4667,88.2,37,96,5.39
185,Erenhot,CN,2022-07-20 19:28:57,43.6475,111.9767,77.27,34,91,13.24
186,Itaituba,BR,2022-07-20 19:28:58,-4.2761,-55.9836,91.56,58,40,8.05
187,Khandyga,RU,2022-07-20 19:28:58,62.6667,135.6,64.9,83,0,1.77
188,Kununurra,AU,2022-07-20 19:29:01,-15.7667,128.7333,60.78,77,86,3.44
189,Gornopravdinsk,RU,2022-07-20 19:29:01,60.05,69.9,61.97,77,99,4.16
